Frame Offset; Left Frame Index; Right Frame Index; Left Frame Time (ms); Left time from first frame (ms); Right Frame Time (ms); Right time from first frame (ms); Frame Time Diff (ms)
256;257;257;0.949708;2743.48112881184;2.045917;788.442333817482;1.096209
257;258;258;1.574;2744.43083679676;3.378542;790.488250851631;1.804542
258;259;259;1.578167;2746.00483679771;0.947958;793.866792798042;-0.630209
259;260;260;1.333417;2747.58300375938;1.55125;794.814750790596;0.217833
260;261;261;1.453166;2748.91642069817;2.031208;796.366000771523;0.578042
261;262;262;1.35175;2750.36958670616;2.293458;798.397208809853;0.941708
262;263;263;1.271041;2751.72133672237;1.806583;800.690666794777;0.535542
263;264;264;4.988417;2752.99237775803;1.84675;802.49724984169;-3.141667
264;265;265;2.652583;2757.98079490662;1.971833;804.343999862671;-0.6807499
265;266;266;1.372417;2760.63337779045;4.734167;806.315832853317;3.36175
266;267;267;2.583625;2762.00579476357;22.42896;811.049999952316;19.84533
267;268;268;3.097083;2764.58941984177;25.87788;833.478958845139;22.78079
268;269;269;0.977292;2767.6865029335;4.319208;859.356835126877;3.341916
269;270;270;1.436375;2768.66379493475;2.464958;863.676043272018;1.028583
270;271;271;1.75875;2770.10016995668;2.6545;866.141001224518;0.89575
271;272;272;1.532708;2771.85891991854;2.049625;868.795501232147;0.5169169
272;273;273;1.621958;2773.39162796736;2.119375;870.845126152039;0.497417
273;274;274;1.696;2775.01358598471;2.077833;872.964501142502;0.381833
274;275;275;1.41225;2776.70958596468;2.4295;875.042334079742;1.01725
275;276;276;1.491333;2778.12183600664;1.870292;877.471834182739;0.3789589
276;277;277;2.107042;2779.61316901445;2.135125;879.342126131058;0.02808285
277;278;278;1.623083;2781.72021108866;1.928125;881.477251052856;0.305042
278;279;279;1.736458;2783.34329408407;2.032042;883.405376076698;0.2955841
279;280;280;1.420375;2785.07975202799;1.934125;885.437418103218;0.51375
280;281;281;1.50875;2786.5001270175;2.144584;887.371543049812;0.635834
281;282;282;1.710333;2788.00887697935;2.091584;889.516126990318;0.381251
282;283;283;3.207792;2789.71920996904;2.198541;891.607710957527;-1.009251
283;284;284;0.945042;2792.92700201273;1.879917;893.806251883507;0.934875
284;285;285;1.322291;2793.87204402685;2.0315;895.686168909073;0.7092091
285;286;286;2.089583;2795.19433504343;2.076458;897.717669010162;-0.01312494
